LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.3456372,42.9476157,0038,WESTFORD DRIVE,,AUBURN,,NH,03032,000002000003000047,1b3efb41afc1ae15
-71.3451627,42.9473412,0019,WESTFORD DRIVE,,AUBURN,,NH,03032,000002000003000046,2dd2356cf5a2322c
-71.3447989,42.9470237,0015,WESTFORD DRIVE,,AUBURN,,NH,03032,000002000003000045,38eed5a6e3cdf16b
-71.3444563,42.9466973,0007,WESTFORD DRIVE,,AUBURN,,NH,03032,000002000003000044,bbde69c471e9a279
-71.344011,42.9464126,0005,WESTFORD DRIVE,,AUBURN,,NH,03032,000002000003000043,52f4288d0a19a6e4
-71.3438028,42.9460084,0132,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000042,b1d246216b365ee9
-71.3434133,42.9456767,0136,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000041,f36739327a2697d4
-71.343064,42.9453384,0140,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000040,06a462114e42d850
-71.3425292,42.9469638,0115,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000023,dc8c61ca31ad8f8d
-71.3427583,42.9465645,0125,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000024,0c9b7504d12ecc5a
-71.3424018,42.946216,0135,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000025,38301a67c985e462
-71.3416713,42.9454226,0149,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000026,3c54415911f4389f
-71.3426037,42.9448681,0148,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000039,de083860f272ef32
-71.3411096,42.9452816,0157,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000027,aba133fa6e4441ac
-71.3405109,42.9454272,0173,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000028,55e8d8cfed60ccfa
-71.3399791,42.9457117,0179,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000029,f94374972e3af155
-71.3395117,42.946017,0181,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000030,264e19297641b48c
-71.3389901,42.9459597,0214,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000003000031,af71fdda1724973b
-71.3391965,42.9451052,0184,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000032,bd81700132d536ce
-71.3397566,42.9447278,0176,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000033,f0a06cf97f6e9c7c
-71.3401909,42.9444426,0170,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000034,a022889b7adc23f3
-71.3407742,42.9443815,0007,WINTERS WAY,,AUBURN,,NH,03032,000002000003000035,ee5a87d6d09f5e9f
-71.3418059,42.9442962,0156,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000037,1f661c9629ca6b9c
-71.342231,42.9445086,0152,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000038,725b2b75e635150b
-71.3407749,42.9437663,0015,WINTERS WAY,,AUBURN,,NH,03032,000002000003000036,80edb1b4bb1fc19e
-71.3400217,42.9585512,0026,MCQUESTON DRIVE,,AUBURN,,NH,03032,000002000005000006,5c26736be341ebfe
-71.34118,42.9581483,0010,MCQUESTON DRIVE,,AUBURN,,NH,03032,000002000005000007,872e8ba3f1be16a3
-71.3393488,42.9589223,0034,MCQUESTON DRIVE,,AUBURN,,NH,03032,000002000005000005,78e700dd5a18de25
-71.3399376,42.9601485,0040,MCQUESTON DRIVE,,AUBURN,,NH,03032,000002000005000004,7c4968713f4b81b5
-71.3405988,42.9597494,0046,MCQUESTON DRIVE,,AUBURN,,NH,03032,000002000005000003,bb407d1db94f0f4e
-71.3414177,42.9589832,0017,MCQUESTON DRIVE,,AUBURN,,NH,03032,000002000005000002,a89e4f3c67e2f0b1
-71.3427287,42.9586488,0007,MCQUESTON DRIVE,,AUBURN,,NH,03032,000002000005000001,379480ffd8ba1c51
-71.3141546,42.9393687,0024,BOXWOOD DRIVE,,AUBURN,,NH,03032,000002000044000006,b12ef142a3293643
-71.3331089,42.945018,,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000000,acc2d7cf33553049
-71.3389689,42.9444885,0234,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000014000001,c6293ffbe7a27541
-71.3366,42.9525224,,WILSON'S CROSSING RD,,AUBURN,,NH,03032,000002000003000000,e87a68426798ba23
-71.3388724,42.9436314,0246,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000014000002,d7d7ff92e6ceab59
-71.3391408,42.942893,0256,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000014000003,3501a7fbdc59b909
-71.338568,42.9424328,0260,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000014000004,3da1afe90dcda38a
-71.3378242,42.9423497,0257,STEAM MILL ROAD,,AUBURN,,NH,03032,0000020000090001-1,d638bd616f66728f
-71.337032,42.9427899,0012,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000003,368e5251fa7ba6c1
-71.3369859,42.9439393,0011,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000020,9ce3abef023ab576
-71.3379648,42.9438475,0243,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000021,a08c6fa505cea75e
-71.3376002,42.9444308,0239,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000022,9558397413855cec
-71.3378556,42.9448673,0231,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000023,0535a0b3b8fae850
-71.3362001,42.9430224,0018,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000004,2afa00868b7cfe2b
-71.3353224,42.94344,0026,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000005,25c4334096431650
-71.3348432,42.9438212,0036,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000006,fb09c135d5a5eca9
-71.3343939,42.9441636,0042,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000007,d6aacafdd4344b5b
-71.3361288,42.9447448,0027,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000019,50b0824218c9b31d
-71.3355158,42.9454152,0047,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000018,6f9d964646366a8a
-71.3351206,42.9458573,0053,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000017,4765e680092afdc7
-71.3347412,42.9462028,0059,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000016,4bf4efd5cb23f45e
-71.3344137,42.9466039,0069,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000015,fbf891273a8d683d
-71.3342796,42.9471938,0079,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000014,3993afdd5fe7fc6c
-71.3339315,42.947904,0094,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000013,8f9a195c1c6b451a
-71.3331031,42.9478275,0090,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000012,4e0cef37c2c87cb3
-71.332783,42.9466651,0084,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000011,d56bcdf35a4d3e91
-71.3328609,42.9460298,0072,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000010,bec4fb228be80861
-71.333356,42.9454386,0064,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000009,3c73478ad2744b13
-71.3340783,42.9448046,0054,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000008,c144953cf6c92382
-71.3342814,42.949847,0135,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000029,88cdefb38a9207f3
-71.3335787,42.9503104,0125,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000030,41bcab86337bd74a
-71.3323371,42.9511921,0111,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000031,9a7073dac9f65acf
